,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,name,weight,height
47,Baylor,60.0,60.0,32.7,4.4,9.4,0.465,2.8,5.3,0.519,1.6,4.1,0.39399999999999996,1.6,2.4,0.653,0.4,2.3,2.7,4.7,1.7,0.4,2.3,2.6,12.0,,Davion Mitchell,205lb,6-2
48,Belmont,98.0,94.0,29.3,4.1,7.8,0.528,3.3,5.5,0.604,0.8,2.2,0.341,0.9,1.5,0.601,1.2,5.2,6.3,6.0,2.1,0.2,2.0,1.8,9.8,-5.11,Grayson Murphy,175lb,6-2
49,Nevada,26.0,26.0,34.7,5.9,13.6,0.433,4.1,8.7,0.471,1.8,4.9,0.3670000000000001,5.0,5.8,0.855,0.3,3.5,3.7,6.1,1.6,0.0,2.8,1.5,18.6,,Grant Sherfield,189lb,6-2
50,Prairie View,18.0,17.0,36.1,3.8,10.5,0.36,2.4,5.4,0.454,1.3,5.1,0.261,2.3,3.1,0.732,0.7,2.4,3.2,7.7,2.7,0.3,3.2,2.1,11.2,,Cam Mack,170lb,6-2
51,SMU,43.0,43.0,34.7,5.6,12.1,0.463,4.4,8.4,0.518,1.2,3.7,0.338,3.7,4.3,0.845,0.6,3.6,4.1,7.0,1.3,0.1,2.4,2.0,16.1,,Kendric Davis,180lb,5-11
52,Ohio,82.0,73.0,34.1,4.9,9.8,0.498,3.9,7.1,0.551,1.0,2.7,0.35700000000000004,1.8,2.6,0.703,0.8,4.8,5.6,5.9,1.2,0.1,2.6,1.2,12.6,0.92,Jason Preston,187lb,6-4
53,North Carolina A&T,117.0,112.0,30.4,2.9,6.4,0.459,2.6,5.5,0.482,0.3,0.9,0.321,2.2,3.7,0.593,1.0,3.2,4.1,6.5,1.9,0.1,2.7,1.8,8.4,-9.25,Kameron Langley,165lb,6-2
54,Saint Louis,50.0,44.0,30.1,1.8,4.7,0.384,1.5,3.6,0.41,0.4,1.2,0.305,1.3,2.2,0.593,0.4,2.5,2.8,5.7,1.4,0.0,2.8,2.3,5.3,2.63,Yuri Collins,185lb,6-0
55,Richmond,117.0,117.0,36.9,4.5,10.0,0.454,2.5,4.4,0.5720000000000001,2.0,5.6,0.363,2.1,2.7,0.807,0.5,2.3,2.8,5.0,3.1,0.1,1.9,1.6,13.2,2.64,Jacob Gilyard,160lb,5-9
56,Georgia Tech,106.0,104.0,34.9,4.6,10.4,0.444,3.0,5.7,0.531,1.6,4.8,0.341,2.6,3.3,0.79,0.6,3.0,3.6,3.6,2.1,0.1,2.3,2.5,13.5,8.18,Jose Alvarado,179lb,6-0
57,Coastal Carolina,81.0,77.0,31.9,5.7,11.8,0.481,4.2,7.3,0.5720000000000001,1.5,4.5,0.334,4.2,4.9,0.855,1.0,4.6,5.7,4.2,2.0,0.1,2.7,2.5,17.0,-3.28,DeVante Jones,200lb,6-1
58,Nicholls State,117.0,110.0,32.4,3.2,8.3,0.388,2.0,4.6,0.434,1.2,3.7,0.33,1.7,2.2,0.7709999999999999,0.7,2.3,3.0,3.7,2.1,0.1,1.7,2.2,9.4,-6.89,Kevin Johnson,160lb,6-0
59,St. John's (NY),25.0,24.0,31.0,4.3,9.5,0.454,3.5,6.8,0.515,0.8,2.7,0.299,1.5,2.0,0.725,1.5,2.0,3.4,4.3,2.6,0.0,2.3,2.3,10.9,7.19,Posh Alexander,205lb,6-0
60,Belmont,30.0,30.0,31.1,4.3,9.5,0.45299999999999996,1.7,2.9,0.586,2.6,6.6,0.39399999999999996,1.5,1.8,0.818,0.3,1.9,2.2,2.9,2.0,0.0,1.2,1.7,12.7,-8.71,Luke Smith,175lb,6-0
61,Hartford,57.0,57.0,32.5,3.6,10.1,0.355,2.0,5.7,0.35200000000000004,1.6,4.4,0.36,1.8,2.2,0.7809999999999999,0.5,3.2,3.7,4.3,2.5,0.3,2.6,3.3,10.5,,Traci Carter,175lb,6-1
62,Baylor,94.0,81.0,29.1,4.9,11.4,0.431,2.6,5.4,0.483,2.3,5.9,0.384,2.1,2.6,0.782,0.5,2.7,3.2,3.5,1.5,0.2,2.4,2.4,14.1,8.6,Jared Butler,195lb,6-3
63,Coppin State,22.0,22.0,34.8,5.5,11.6,0.473,4.4,8.1,0.539,1.1,3.5,0.321,4.0,7.1,0.561,1.6,6.6,8.2,3.6,2.6,1.9,3.2,2.2,16.1,,Anthony Tarke,220lb,6-6
64,St. Peter's,84.0,44.0,26.0,3.5,7.4,0.471,3.4,6.8,0.496,0.1,0.6,0.16699999999999998,2.8,4.4,0.626,1.6,3.9,5.5,1.1,1.2,2.5,2.2,3.1,9.8,-6.5,KC Ndefo,195lb,6-7
65,Hampton,24.0,23.0,26.4,2.9,5.1,0.561,2.9,5.1,0.561,0.0,0.0,,1.3,1.9,0.674,1.5,5.0,6.5,0.5,0.5,3.4,1.8,3.5,7.0,,Dajour Dickens,215lb,7-0
66,Seton Hall,57.0,30.0,16.1,1.2,1.8,0.6890000000000001,1.2,1.8,0.6890000000000001,0.0,0.0,,1.1,1.8,0.604,1.4,1.8,3.2,0.1,0.1,2.0,1.0,2.1,3.6,,Ike Obiagu,270lb,7-2
67,Lamar,57.0,32.0,21.4,1.9,3.7,0.5,1.9,3.7,0.5,0.0,0.0,,0.5,1.2,0.409,1.8,3.7,5.5,0.5,0.4,2.3,1.1,2.4,4.2,-6.51,David Muoka,210lb,6-10
68,Rutgers,90.0,47.0,21.9,3.0,5.0,0.599,3.0,5.0,0.601,0.0,0.0,0.0,0.8,2.0,0.397,2.9,4.4,7.4,1.0,0.8,1.5,1.3,2.6,6.8,10.65,Myles Johnson,255lb,6-11
69,Mississippi State,131.0,130.0,26.6,2.4,4.0,0.594,2.4,4.0,0.594,0.0,0.0,,1.4,2.4,0.589,2.6,3.5,6.2,0.5,0.6,1.9,1.5,2.6,6.1,7.41,Abdul Ado,255lb,6-11
70,Stony Brook,54.0,24.0,25.4,2.9,6.6,0.4370000000000001,2.5,5.3,0.467,0.4,1.3,0.319,1.8,2.6,0.7170000000000001,1.4,5.3,6.7,1.7,0.6,2.4,1.9,2.5,8.1,-4.57,Mouhamadou Gueye,210lb,6-9
71,St. Bonaventure,79.0,61.0,29.9,3.9,6.6,0.586,3.9,6.6,0.5870000000000001,0.0,0.0,0.0,1.6,2.5,0.645,2.7,5.6,8.3,1.3,0.7,2.7,1.2,2.7,9.4,2.12,Osun Osunniyi,220lb,6-10
72,Minnesota,23.0,23.0,24.7,3.9,8.8,0.441,3.1,6.5,0.48,0.7,2.3,0.327,3.3,4.7,0.6940000000000001,2.4,4.2,6.6,1.1,0.7,2.7,1.7,3.6,11.7,,Liam Robbins,235lb,7-0
73,Grand Canyon,24.0,24.0,28.7,5.5,7.8,0.7070000000000001,5.5,7.7,0.723,0.0,0.2,0.0,3.1,4.3,0.718,2.7,7.0,9.7,0.7,0.4,1.3,2.1,2.2,14.2,,Asbjorn Midtgaard,270lb,7-0
74,Ohio,24.0,23.0,27.3,6.3,9.5,0.655,6.3,9.5,0.6609999999999999,0.0,0.1,0.0,2.0,2.9,0.6709999999999999,2.7,4.8,7.5,0.7,0.5,0.4,1.7,1.8,14.5,,Dwight Wilson III,250lb,6-8
75,Western Carolina,58.0,30.0,18.9,3.4,5.2,0.6559999999999999,3.4,5.2,0.66,0.0,0.0,0.0,1.3,1.9,0.667,1.7,2.7,4.3,1.0,0.3,0.9,1.7,2.3,8.1,-1.79,Xavier Cork,235lb,6-9
76,Stephen F. Austin,51.0,49.0,27.2,5.0,8.1,0.617,5.0,8.0,0.623,0.0,0.1,0.0,3.5,5.4,0.6459999999999999,3.0,4.0,7.0,1.4,1.3,0.5,2.5,2.7,13.5,,Gavin Kensmil,255lb,6-7
77,Wright State,59.0,20.0,19.1,3.6,6.4,0.565,3.2,5.3,0.606,0.4,1.1,0.365,2.0,3.0,0.665,1.6,3.6,5.2,1.1,0.4,1.2,1.6,2.0,9.6,-4.92,Grant Basile,225lb,6-9
78,California Baptist,23.0,23.0,26.4,5.4,8.7,0.617,5.4,8.5,0.633,0.0,0.2,0.0,2.7,3.9,0.7,2.3,7.9,10.3,1.9,0.6,1.7,2.4,3.3,13.5,,Gorjok Gak,235lb,6-11
79,Tennessee State,53.0,53.0,24.1,4.3,7.0,0.615,4.3,6.9,0.619,0.0,0.0,0.0,1.5,2.6,0.5660000000000001,2.0,3.5,5.5,0.8,0.7,0.6,1.5,3.0,10.0,-6.34,Shakem Johnson,210lb,6-7
80,Providence,122.0,68.0,21.6,4.2,7.3,0.578,4.2,7.3,0.579,0.0,0.0,0.0,2.4,3.7,0.635,2.0,2.4,4.5,0.4,0.3,0.7,1.1,2.3,10.8,8.49,Nate Watson,260lb,6-10
81,UNC Wilmington,62.0,41.0,27.8,3.4,8.4,0.41,1.4,3.2,0.4270000000000001,2.1,5.2,0.399,3.1,3.5,0.89,0.6,1.5,2.0,2.1,1.0,0.1,1.4,2.8,12.1,-3.13,Ty Gadsden,165lb,6-1
82,Ohio State,58.0,41.0,29.4,3.0,7.2,0.419,2.3,4.9,0.474,0.7,2.3,0.301,2.3,2.6,0.882,0.3,2.8,3.1,3.9,1.1,0.1,1.9,2.5,9.1,,CJ Walker,195lb,6-1
83,Montana,22.0,10.0,25.4,3.0,7.4,0.411,1.6,3.7,0.444,1.4,3.7,0.378,3.0,3.2,0.929,0.3,2.1,2.4,1.0,0.5,0.0,1.3,2.0,10.5,-1.57,Robby Beasley,190lb,6-3
84,UCF,51.0,33.0,26.4,3.2,7.3,0.4370000000000001,1.8,3.5,0.517,1.4,3.8,0.363,1.7,2.1,0.84,0.9,3.3,4.2,1.4,1.0,0.2,1.4,1.8,9.5,,Brandon Mahan,200lb,6-5
85,Lafayette,103.0,32.0,26.4,3.6,8.1,0.444,2.6,5.1,0.509,1.0,3.0,0.333,1.7,2.0,0.825,0.4,2.6,3.0,1.7,0.7,0.3,1.1,1.4,9.9,-5.82,E.J. Stephens,176lb,6-3
86,Colgate,111.0,99.0,30.7,5.2,12.3,0.419,3.0,6.6,0.455,2.1,5.7,0.378,2.5,3.1,0.813,0.5,2.6,3.1,4.5,1.3,0.1,2.7,1.6,15.0,-4.27,Jordan Burns,175lb,6-0
87,Cal State Fullerton,16.0,9.0,24.4,3.4,7.8,0.44,1.8,3.9,0.452,1.7,3.9,0.429,3.3,3.7,0.898,0.3,1.8,2.1,1.8,0.9,0.1,1.8,1.7,11.9,-3.05,Dante Maddox Jr.,195lb,6-2
88,Hampton,46.0,25.0,20.4,2.3,5.0,0.465,0.5,1.1,0.481,1.8,3.8,0.46,0.1,0.2,0.667,0.5,1.2,1.6,0.5,0.5,0.2,0.5,1.4,6.5,-7.54,Chris Shelton,190lb,6-4
89,Toledo,93.0,63.0,28.5,3.1,7.0,0.449,0.9,1.8,0.491,2.2,5.1,0.434,0.7,1.0,0.736,0.7,1.9,2.7,1.3,1.1,0.2,0.7,2.2,9.2,,Spencer Littleson,200lb,6-4
90,San Diego State,121.0,74.0,22.9,2.7,6.2,0.443,0.9,1.8,0.48,1.9,4.4,0.4270000000000001,1.2,1.4,0.87,0.7,2.6,3.3,0.8,0.7,0.1,0.5,2.2,8.5,3.33,Jordan Schakel,200lb,6-6
91,Xavier,16.0,16.0,31.5,3.8,8.8,0.429,1.1,2.9,0.383,2.6,5.8,0.452,1.3,1.6,0.8,0.8,3.4,4.2,1.7,1.2,0.1,1.3,1.4,11.4,,Nate Johnson,195lb,6-4
92,Robert Morris,120.0,118.0,30.4,2.3,6.0,0.38,0.5,1.7,0.303,1.7,4.2,0.411,0.9,1.1,0.782,0.2,1.8,2.1,4.1,0.8,0.0,2.1,2.3,7.1,-6.4,Jon Williams,185lb,6-1
93,American,40.0,40.0,33.5,4.3,10.2,0.41600000000000004,1.7,3.9,0.42,2.6,6.3,0.413,2.2,2.5,0.861,0.4,2.7,3.1,2.2,0.9,0.1,2.0,2.0,13.3,,Jamir Harris,198lb,6-2
94,VMI,118.0,55.0,23.2,3.4,7.9,0.43,2.0,4.2,0.485,1.3,3.7,0.3670000000000001,1.0,1.4,0.7390000000000001,0.4,2.0,2.4,2.6,0.8,0.0,1.4,1.4,9.1,-1.91,Greg Parham,176lb,6-4
95,UNC Asheville,82.0,77.0,32.8,4.7,10.2,0.462,2.5,4.4,0.581,2.2,5.8,0.373,1.3,2.0,0.6629999999999999,1.2,2.6,3.8,0.9,1.0,0.3,1.3,1.4,12.9,-6.08,Tajion Jones,190lb,6-5
96,Quinnipiac,52.0,22.0,16.2,1.9,2.5,0.769,1.9,2.5,0.767,0.0,0.0,1.0,1.3,2.0,0.613,1.1,2.6,3.7,0.3,0.3,1.8,0.6,1.9,5.1,-7.06,Seth Pinkney,200lb,7-1
97,Tulsa,98.0,19.0,18.2,2.2,4.0,0.557,2.1,3.2,0.632,0.2,0.7,0.214,0.8,1.4,0.604,1.0,1.5,2.5,1.5,1.0,0.1,1.1,1.5,5.4,3.82,Darien Jackson,189lb,6-3
98,Akron,30.0,20.0,17.6,2.6,3.5,0.743,2.6,3.5,0.743,0.0,0.0,,1.0,1.5,0.667,2.2,5.0,7.2,0.2,0.4,1.5,1.1,2.0,6.2,-1.18,Enrique Freeman,205lb,6-7
99,Gonzaga,47.0,22.0,17.6,2.5,4.1,0.606,2.4,3.5,0.6890000000000001,0.1,0.6,0.138,1.2,1.9,0.625,0.9,2.3,3.2,1.3,1.2,0.6,0.9,2.0,6.2,4.52,Anton Watson,225lb,6-8
100,Hofstra,23.0,14.0,27.4,3.8,6.6,0.5760000000000001,3.3,4.7,0.706,0.4,1.8,0.238,0.9,2.1,0.429,2.7,4.0,6.7,0.7,1.0,0.8,1.3,2.7,8.9,-2.94,Kvonn Cramer,205lb,6-6
101,Stephen F. Austin,51.0,21.0,19.3,3.0,5.7,0.526,2.1,3.0,0.693,0.9,2.7,0.33799999999999997,0.9,1.2,0.726,0.4,1.3,1.6,2.9,0.8,0.2,1.8,1.6,7.7,,David Kachelries,183lb,6-1
102,Radford,27.0,0.0,13.6,3.0,4.3,0.698,3.0,4.3,0.698,0.0,0.0,,1.4,2.2,0.617,1.1,2.9,4.0,0.1,0.2,0.3,0.9,1.5,7.4,-6.6,Shaquan Jules,235lb,6-7
103,Notre Dame,91.0,33.0,23.2,3.0,6.4,0.466,1.7,2.7,0.627,1.3,3.8,0.35100000000000003,1.6,2.2,0.718,1.1,4.0,5.1,0.5,0.3,0.4,0.7,1.7,8.9,7.76,Nate Laszewski,227lb,6-10
104,Virginia,101.0,43.0,18.3,3.0,5.2,0.588,2.4,3.5,0.6829999999999999,0.6,1.6,0.386,0.9,1.4,0.679,1.2,3.3,4.5,0.6,0.3,1.6,0.9,2.0,7.6,8.58,Jay Huff,240lb,7-1
105,Duke,55.0,45.0,25.8,5.0,9.5,0.526,3.2,5.2,0.611,1.8,4.2,0.421,1.7,2.4,0.731,1.5,3.3,4.8,1.1,0.6,0.7,1.0,2.4,13.5,8.17,Matthew Hurt,235lb,6-9
106,Vermont,68.0,18.0,17.9,3.6,6.8,0.525,2.9,4.8,0.608,0.6,1.9,0.318,1.3,1.6,0.833,1.7,2.2,3.9,0.6,0.3,0.4,0.8,1.9,9.1,-5.54,Ryan Davis,250lb,6-8
107,Purdue-Fort Wayne,23.0,23.0,28.8,3.2,6.3,0.5,1.2,2.0,0.6,2.0,4.4,0.455,1.9,2.2,0.88,0.7,2.7,3.3,1.4,0.6,0.2,1.6,2.3,10.3,,Bobby Planutis,200lb,6-8
108,Colgate,115.0,3.0,16.4,2.3,5.4,0.422,0.8,1.6,0.5,1.5,3.8,0.389,1.1,1.3,0.805,0.4,1.8,2.2,0.8,0.5,0.1,0.6,1.1,7.1,-4.27,Jack Ferguson,180lb,6-3
109,Rice,48.0,35.0,21.5,3.4,5.1,0.654,3.4,5.0,0.6679999999999999,0.0,0.1,0.0,0.9,1.4,0.6920000000000001,2.3,4.6,6.8,2.3,0.6,0.7,1.9,1.7,7.6,-1.12,Max Fiedler,235lb,6-10
